resolve_request,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,won
1,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
1,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,1
1,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
2,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
2,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
2,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
3,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
3,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
3,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
4,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
4,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
4,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
5,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
5,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,1
5,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
6,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
6,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
6,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
7,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
7,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,1
7,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
8,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
8,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
8,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,1
9,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
9,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,1
9,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
10,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
10,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
10,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
11,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
11,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
11,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
12,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
12,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,1
12,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
13,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,0
13,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
13,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,1
14,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
14,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
14,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
15,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,1
15,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,0
15,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,0
